treehouse_name	depmap_name
acute leukemia	Leukemia
acute lymphoblastic leukemia	b-ALL
acute lymphoblastic leukemia	t-ALL
acute megakaryoblastic leukemia	AML
acute myeloid leukemia	AML
adrenocortical carcinoma	Adrenal Cancer
alveolar rhabdomyosarcoma	rhabdomyosarcoma
bladder urothelial carcinoma	Bladder Cancer
breast invasive carcinoma	Breast Cancer
cervical & endocervical cancer	Cervical Cancer
cholangiocarcinoma	Bile Duct Cancer
choroid plexus carcinoma	Brain Cancer
colon adenocarcinoma	Colon/Colorectal Cancer
dedifferentiated liposarcoma	Liposarcoma
desmoplastic small round cell tumor	Sarcoma
diffuse large B-cell lymphoma	Lymphoma
dysembryoplastic neuroepithelial tumor	Brain Cancer
embryonal rhabdomyosarcoma	rhabdomyosarcoma
ependymoma	Brain Cancer
esophageal carcinoma	Esophageal Cancer
Ewing sarcoma	Ewing_sarcoma
fibrolamellar hepatocellular carcinoma	Liver Cancer
gastrointestinal stromal tumor	Gastric Cancer
glioblastoma multiforme	Brain Cancer
glioma	Brain Cancer
head & neck squamous cell carcinoma	Head and Neck Cancer
hepatoblastoma	Liver Cancer
hepatocellular carcinoma	Liver Cancer
kidney chromophobe	Kidney Cancer
kidney clear cell carcinoma	Kidney Cancer
kidney papillary cell carcinoma	Kidney Cancer
leiomyosarcoma	Sarcoma
lung adenocarcinoma	Lung Cancer
lung squamous cell carcinoma	Lung Cancer
lymphoma	Lymphoma
malignant peripheral nerve sheath tumor	Malignant peripheral nerve sheath tumor
medulloblastoma	medulloblastoma
melanoma	Skin Cancer
mesothelioma	Lung Cancer
myxofibrosarcoma	Sarcoma
neuroblastoma	neuroblastoma
osteosarcoma	osteosarcoma
ovarian serous cystadenocarcinoma	Ovarian Cancer
pancreatic adenocarcinoma	Pancreatic Cancer
pheochromocytoma & paraganglioma	Pheochromocytoma & Paraganglioma
prostate adenocarcinoma	Prostate Cancer
rectum adenocarcinoma	Colon/Colorectal Cancer
rhabdomyosarcoma	rhabdomyosarcoma
sarcoma	Sarcoma
skin cutaneous melanoma	Skin Cancer
stomach adenocarcinoma	Gastric Cancer
supratentorial embryonal tumor NOS	Brain Cancer
synovial sarcoma	Synovial sarcoma
testicular germ cell tumor	Germ Cell Tumor
thymoma	Thymoma
thyroid carcinoma	Thyroid Cancer
undifferentiated pleomorphic sarcoma	Sarcoma
undifferentiated sarcoma NOS	Sarcoma
uterine carcinosarcoma	Endometrial/Uterine Cancer
uterine corpus endometrioid carcinoma	Endometrial/Uterine Cancer
uveal melanoma	Eye Cancer
wilms tumor	Kidney Cancer
acute leukemia of ambiguous lineage	Leukemia
myoepithelial carcinoma	Myoepithelial Carcinoma
INI-deficient soft tissue sarcoma NOS	Sarcoma
teratoma	Teratoma
infantile fibrosarcoma	Sarcoma
acinar cell carcinoma	Pancreatic Cancer
pineal parenchymal tumor	Brain Cancer
rosette forming glioneuronal tumor	Brain Cancer
juvenile myelomonocytic leukemia	JMML
myeloid neoplasm NOS	AML
alveolar soft part sarcoma	Sarcoma
follicular neoplasm	Thyroid Cancer
ganglioglioma	Brain Cancer
undifferentiated hepatic sarcoma	Liver Cancer
atypical teratoid/rhabdoid tumor	Rhabdoid
acute undifferentiated leukemia	Leukemia
retinoblastoma	Retinoblastoma
germ cell tumor	Germ Cell Tumor
inflammatory myofibroblastic tumor	inflammatory myofibroblastic tumor
meningioma	Brain Cancer
chronic myelogenous leukemia (S02),  acute lymphoblastic leukemia (S01)	CML
neoplasm (uncertain whether benign or malignant)	Unknown
Sertoli-Leydig cell tumor,  retiform	Germ Cell Tumor
epithelioid sarcoma	Sarcoma
fibromatosis	Fibromatosis
rhabdoid tumor	Rhabdoid
myeloproliferative neoplasm	Unknown
adrenocortical cancer	Adrenal Cancer
lipoblastomatosis	Lipoblastomatosis
adrenocortical adenoma	Adrenal Cancer
pleomorphic myxoid liposarcoma	Liposarcoma
sclerosing epithelioid fibrosarcoma	Sarcoma
embryonal tumor with multilayered rosettes	Sarcoma
endometrial stromal sarcoma	Sarcoma
epithelioid hemangioendothelioma	Hemangioendothelioma
nasopharyngeal carcinoma	Head and Neck Cancer
craniopharyngioma	Brain Cancer
NUT midline carcinoma	Head and Neck Cancer
angiosarcoma	Sarcoma
gliomatosis cerebri	Brain Cancer
neurofibromatosis type 1	Neurofibroma
neurofibroma	Neurofibroma
leukemia	Leukemia
thymic carcinoma	Thyroid Cancer
clear cell carcinoma of cervix	Cervical Cancer
PEComa	PEComa
undifferentiated spindle cell sarcoma	Sarcoma
myofibromatosis	Fibromatosis
pleuropulmonary blastoma	Lung Cancer
melanotic neuroectodermal tumor	melanotic neuroectodermal tumor
neuroendocrine carcinoma	neuroendocrine carcinoma